id, journal, dates, title, author, citation
"21078","Journal of Econometrics","2008, Volume 147, Issue 2","Consumption and labor supply","Jorgenson, Dale W. & Slesnick, Daniel T.","23"
"21079","Journal of Econometrics","2008, Volume 147, Issue 2","The structure of US food demand","LaFrance, Jeffrey T.","21"
"21099","Journal of Econometrics","2008, Volume 147, Issue 1","Dynamic quantile models","Gourieroux, C. & Jasiak, J.","88"
"21160","Journal of Econometrics","2008, Volume 144, Issue 1","Likelihood approximation","numerical integration on sparse grids by Heiss, Florian & Winschel, Viktor","276"
"21172","Journal of Econometrics","2008, Volume 143, Issue 2","Detections of changes in return","a wavelet smoother with conditional heteroscedastic volatility by Chen, Gongmeng & Choi, Yoon K. & Zhou, Yong","29"
"21178","Journal of Econometrics","2008, Volume 143, Issue 2","Long-run risk-return trade-offs","Bandi, Federico M. & Perron, Benot","58"
"21180","Journal of Econometrics","2008, Volume 143, Issue 1","Specification testing","Delgado, Miguel A.","135"
"21324","Journal of Econometrics","2007, Volume 139, Issue 1","Instrumental values","Chesher, andrew","40"
"21352","Journal of Econometrics","2007, Volume 138, Issue 1","Smoothly mixing regressions","Geweke, John & Keane, Michael","135"
"21384","Journal of Econometrics","2007, Volume 136, Issue 2","Riesz estimators","Aliprantis, Charalambos D. & Harris, David & Tourky, Rabee","8"
"21441","Journal of Econometrics","2006, Volume 134, Issue 1","Matrix exponential GARCH","Kawakatsu, Hiroyuki","93"
"21492","Journal of Econometrics","2006, Volume 132, Issue 1","Synchronization of cycles","Harding, Don & Pagan, Adrian","494"
"21549","Journal of Econometrics","2005, Volume 128, Issue 1","Impact factors","Omtzigt, Pieter & Paruolo, Paolo","16"
"21597","Journal of Econometrics","2005, Volume 125, Issue 1-2","Rejoinder","Smith, Jeffrey & Todd, Petra","30"
"21649","Journal of Econometrics","2004, Volume 121, Issue 1-2","Time-use and college outcomes","Stinebrickner, Ralph & Stinebrickner, T.R.Todd R.","158"
"21664","Journal of Econometrics","2004, Volume 120, Issue 1","Nonstationary discrete choice","Hu, Ling & Phillips, Peter C. B.","88"
"21668","Journal of Econometrics","2004, Volume 119, Issue 2","Dynamic factor models","Croux, Christophe & Renault, Eric & Werker, Bas","10"
"21691","Journal of Econometrics","2004, Volume 118, Issue 1-2","Modeling of time series arrays","multistep prediction or likelihood methods by Findley, David F. & Potscher, Benedikt M. & Wei, Ching-Zong","21"
"21757","Journal of Econometrics","2003, Volume 113, Issue 2","What is an oil shock?","Hamilton, James D.","1882"
"21772","Journal of Econometrics","2003, Volume 112, Issue 1","Analysis of data on health: 2","Bhargava, Alok","764"
"21818","Journal of Econometrics","2002, Volume 110, Issue 2","Evaluating GARCH models","Lundbergh, Stefan & Terasvirta, Timo","212"
"21833","Journal of Econometrics","2002, Volume 109, Issue 1","Tails of Lorenz curves","Schluter, Christian & Trede, Mark","34"
"21894","Journal of Econometrics","2001, Volume 105, Issue 1","Economic tracking portfolios","Lamont, Owen A.","270"
"21895","Journal of Econometrics","2001, Volume 105, Issue 1","Yield curve estimation","kernel smoothing methods by Linton, Oliver & Mammen, Enno & Nielsen, Jans Perch & Tanggaard, Carsten","72"
"21899","Journal of Econometrics","2001, Volume 104, Issue 2","Invariance and the Wald test","Kemp, Gordon C. R.","8"
"21958","Journal of Econometrics","2001, Volume 100, Issue 1","Microeconometrics","Hausman, Jerry","16516"
"21962","Journal of Econometrics","2001, Volume 100, Issue 1","Notes on financial econometrics","Tauchen, George","39"
"21968","Journal of Econometrics","2000, Volume 99, Issue 2","Robust out-of-sample inference","Mc Cracken, Michael W.","206"
"22010","Journal of Econometrics","2000, Volume 97, Issue 1","Glejsers test revisited","Machado, Jose A. F. & Silva, J. M. C. Santos","49"
"22013","Journal of Econometrics","2000, Volume 96, Issue 2","On simulated EM algorithms","Nielsen, Soren Feodor","27"
"22089","Journal of Econometrics","1999, Volume 91, Issue 1","Redundancy of moment conditions","Breusch, Trevor & Qian, Hailong & Schmidt, Peter & Wyhowski, Donald","147"
"22149","Journal of Econometrics","1998, Volume 87, Issue 1","Spurious rejections","Dickey-Fuller tests in the presence of a break under the null by Leybourne, Stephen J. & C. Mills, Terence & Newbold, Paul","230"
"22176","Journal of Econometrics","1998, Volume 85, Issue 1","Business cycle durations","Filardo, andrew J. & Gordon, Stephen F.","279"
"22197","Journal of Econometrics","1998, Volume 83, Issue 1-2","Lending cycles","Asea, Patrick K. & Blomberg, Brock","291"
"22224","Journal of Econometrics","1997, Volume 81, Issue 1","Nonparametric dynamic modelling","Lutkepohl, Helmut","1416"
"22225","Journal of Econometrics","1997, Volume 81, Issue 1","Rank tests for unit roots","Breitung, Jorg & Gourieroux, Christian","74"
"22227","Journal of Econometrics","1997, Volume 81, Issue 1","Nonlinear stochastic trends","Granger, Clive W. J. & Inoue, Tomoo & Morin, Norman","51"
"22235","Journal of Econometrics","1997, Volume 80, Issue 2","Codependent cycles","Vahid, Farshid & Engle, Robert F.","175"
"22307","Journal of Econometrics","1997, Volume 76, Issue 1-2","Inferring the rank of a matrix","Cragg, John G. & Donald, Stephen G.","249"
"22317","Journal of Econometrics","1996, Volume 75, Issue 2","Bounding posterior means","model criticism by Iwata, Shigeru","1"
"22323","Journal of Econometrics","1996, Volume 75, Issue 1","The Bernoullis of Basel","Stigler, Stephen M.","3"
"22329","Journal of Econometrics","1996, Volume 75, Issue 1","Priors for unit root models","Kadane, Joseph B. & Chan, Ngai Hang & Wolfson, Lara J.","33"
"22330","Journal of Econometrics","1996, Volume 75, Issue 1","On priors and Bayes factors","Young, Karen D. S. & Pettit, Lawrence I.","3"
"22357","Journal of Econometrics","1996, Volume 73, Issue 1","Varieties of long memory models","Granger, Clive W. J. & Ding, Zhuanxin","505"
"22393","Journal of Econometrics","1996, Volume 71, Issue 1-2","A note on Sargan densities","Hadri, Kaddour","3"
"22431","Journal of Econometrics","1995, Volume 69, Issue 1","Bayesian prediction a response","Phillips, Peter C. B.","330"
"22453","Journal of Econometrics","1995, Volume 67, Issue 1","Probabilities and experiments","Cartwright, Nancy","30"
"22474","Journal of Econometrics","1995, Volume 66, Issue 1-2","Optimal stock/flow panels","Lancaster, Tony & Imbens, Guido","3"
"22506","Journal of Econometrics","1994, Volume 63, Issue 2","Jeffreys prior for logit models","Poirier, Dale","35"
"22514","Journal of Econometrics","1994, Volume 63, Issue 1","Deciding between I(1) and I(0)","Stock, James H.","57"
"22575","Journal of Economic Behavior & Org","2014, Volume 108, Issue C","Learning","(limited) forward looking players by Mengel, Friederike","17"
"22587","Journal of Economic Behavior & Org","2014, Volume 108, Issue C","Judicial error","groups & individuals by van Dijk, Frans & Sonnemans, Joep & Bauw, Eddy","4"
"22599","Journal of Economic Behavior & Org","2014, Volume 108, Issue C","A note on empathy in games","Grohn, Jan & Huck, Steffen & Valasek, Justin Mattias","5"
"22606","Journal of Economic Behavior & Org","2014, Volume 108, Issue C","Beliefs and ingroup favoritism","Ockenfels, Axel & Werner, Peter","42"
"22633","Journal of Economic Behavior & Org","2014, Volume 107, Issue PA","Ranking friends","Feinberg, Yossi & Kets, Willemien","1"
"22641","Journal of Economic Behavior & Org","2014, Volume 107, Issue PA","Externalities in recruiting","Krkel, Matthias & Szech, Nora & von Bieberstein, Frauke","2"
"22689","Journal of Economic Behavior & Org","2014, Volume 105, Issue C","Ratings as regulatory stamps","Ozerturk, Saltuk","5"
"22691","Journal of Economic Behavior & Org","2014, Volume 105, Issue C","Honesty vs. advocacy","Kim, Kyungmin & Pogach, Jonathan","4"
"22697","Journal of Economic Behavior & Org","2014, Volume 105, Issue C","The evolution of RandD networks","Dawid, Herbert & Hellmann, Tim","22"
"22698","Journal of Economic Behavior & Org","2014, Volume 105, Issue C","Socially gainful gender quotas","Stark, Oded & Hyll, Walter","5"
"22704","Journal of Economic Behavior & Org","2014, Volume 104, Issue C","Religiosity and state welfare","Dills, Angela K. & Hernndez-Julin, Rey","4"
"22707","Journal of Economic Behavior & Org","2014, Volume 104, Issue C","The construction of morals","Chen, Daniel L. & Yeh, Susan","22"
"22710","Journal of Economic Behavior & Org","2014, Volume 103, Issue C","Expert advice for amateurs","Lai, Ernest K.","46"
"22717","Journal of Economic Behavior & Org","2014, Volume 103, Issue C","Myopic separability","Kannai, Yakar & Selden, Larry & Wei, Xiao","2"
"22753","Journal of Economic Behavior & Org","2014, Volume 99, Issue C","Platform selection in the lab","Heggedal, Tom-Reiel & Helland, Leif","4"
"22768","Journal of Economic Behavior & Org","2014, Volume 97, Issue C","The costs of conflict","Smith, Adam C. & Houser, Daniel & Leeson, Peter T. & Ostad, Ramin","22"
"22796","Journal of Economic Behavior & Org","2013, Volume 95, Issue C","Simplification and saving","Beshears, John & Choi, James J. & Laibson, David & Madrian, Brigitte C.","529"
"22802","Journal of Economic Behavior & Org","2013, Volume 95, Issue C","Human capital investment","the poor: Informing policy with laboratory experiments by Eckel, Catherine & Johnson, Cathleen & Montmarquette, Claude","6"
"22807","Journal of Economic Behavior & Org","2013, Volume 94, Issue C","Guns and crime revisited","Guha, Brishti","3"
"22834","Journal of Economic Behavior & Org","2013, Volume 94, Issue C","Hymers multinationals","de Blas, Beatriz & Russ, Katheryn Niles","4"
"22844","Journal of Economic Behavior & Org","2013, Volume 93, Issue C","Is it really good to annuitize?","Feigenbaum, James & Gahramanov, Emin & Tang, Xueli","19"
"22852","Journal of Economic Behavior & Org","2013, Volume 93, Issue C","Deception: The role of guilt","Battigalli, Pierpaolo & Charness, Gary & Dufwenberg, Martin","96"
"22856","Journal of Economic Behavior & Org","2013, Volume 93, Issue C","When do we lie?","Cappelen, Alexander W. & Srensen, Erik ?. & Tungodden, Bertil","90"
"22861","Journal of Economic Behavior & Org","2013, Volume 93, Issue C","Measuring lying aversion","Gneezy, Uri & Rockenbach, Bettina & Serra-Garcia, Marta","177"
"22863","Journal of Economic Behavior & Org","2013, Volume 93, Issue C","The royal lie","Hoffmann, Mareike & Lauer, Thomas & Rockenbach, Bettina","10"
"22874","Journal of Economic Behavior & Org","2013, Volume 93, Issue C","Moral firmness","Shalvi, Shaul & Leiser, David","36"
"22889","Journal of Economic Behavior & Org","2013, Volume 92, Issue C","Prisoners and their dilemma","Khadjavi, Menusch & Lange, andreas","45"
"22936","Journal of Economic Behavior & Org","2013, Volume 90, Issue C","Learning to be fair","andreozzi, Luciano","4"
"22951","Journal of Economic Behavior & Org","2013, Volume 89, Issue C","Transaction cost regulation","Spiller, Pablo T.","90"
"22992","Journal of Economic Behavior & Org","2013, Volume 85, Issue C","Affecting policy","manipulating prediction markets: Experimental evidence by Deck, Cary & Lin, Shengle & Porter, David","24"
"22995","Journal of Economic Behavior & Org","2013, Volume 85, Issue C","Incentives and earnings growth","Frederiksen, anders","3"
"23015","Journal of Economic Behavior & Org","2012, Volume 84, Issue 3","Price discrimination","day-of-week of purchase: Evidence from the U.S. airline industry by Puller, Steven L. & Taylor, Lisa M.","40"
"23066","Journal of Economic Behavior & Org","2012, Volume 84, Issue 1","Selling authority","Lim, Wooyoung","14"
"23070","Journal of Economic Behavior & Org","2012, Volume 84, Issue 1","Satisficing choice procedures","Papi, Mauro","30"
"23091","Journal of Economic Behavior & Org","2012, Volume 83, Issue 3","Clearing networks","Galbiati, Marco & Soramki, Kimmo","-1"
"23115","Journal of Economic Behavior & Org","2012, Volume 83, Issue 1","The gamblers fallacy and gender","Suetens, Sigrid & Tyran, Jean-Robert","33"
"23147","Journal of Economic Behavior & Org","2012, Volume 82, Issue 1","Does the sun???_shin????? on art prices?","De Silva, Dakshina G. & Pownall, Rachel A.J. & Wolk, Leonard","32"
"23175","Journal of Economic Behavior & Org","2012, Volume 81, Issue 2","Anonymous rituals","Hugh-Jones, David & Reinstein, David","13"
"23190","Journal of Economic Behavior & Org","2012, Volume 81, Issue 2","Sharing information","Rockenbach, Bettina & Sadrieh, Abdolkarim","4"
"23213","Journal of Economic Behavior & Org","2012, Volume 81, Issue 1","Non-consequentialist voting","Shayo, Moses & Harel, Alon","59"
"23244","Journal of Economic Behavior & Org","2011, Volume 80, Issue 2","Pathologies of the state","Besley, Timothy","9"
"23245","Journal of Economic Behavior & Org","2011, Volume 80, Issue 2","Constitutions and crisis","Coyne, Christopher J.","24"
"23264","Journal of Economic Behavior & Org","2011, Volume 80, Issue 1","Becoming a bad doctor","Szech, Nora","13"
"23287","Journal of Economic Behavior & Org","2011, Volume 78, Issue 3","Extortion in the laboratory","Bolle, Friedel & Breitmoser, Yves & Schlchter, Steffen","6"
"23291","Journal of Economic Behavior & Org","2011, Volume 78, Issue 3","Ideological media bias","Stone, Daniel F.","47"
"23293","Journal of Economic Behavior & Org","2011, Volume 78, Issue 3","Hayekian anarchism","Stringham, Edward Peter & Zywicki, Todd J.","47"
"23303","Journal of Economic Behavior & Org","2011, Volume 78, Issue 1","Travelers???? types","Braas-Garza, Pablo & Espinosa, Mara Paz & Rey-Biel, Pedro","-1"
"23308","Journal of Economic Behavior & Org","2011, Volume 78, Issue 1","Does fortune favor dragons?","Johnson, Noel D. & Nye, John V.C.","22"
"23320","Journal of Economic Behavior & Org","2011, Volume 77, Issue 3","Optimal irrational behavior","Feigenbaum, James & Caliendo, Frank N. & Gahramanov, Emin","14"
"23327","Journal of Economic Behavior & Org","2011, Volume 77, Issue 3","Born under a lucky star?","Hanaki, Nobuyuki & Kirman, Alan & Marsili, Matteo","10"
"23337","Journal of Economic Behavior & Org","2011, Volume 77, Issue 2","Moral markets","Zak, Paul J.","60"
"23373","Journal of Economic Behavior & Org","2010, Volume 76, Issue 3","How Islamic is Islamic Banking?","Khan, Feisal","408"
"23417","Journal of Economic Behavior & Org","2010, Volume 75, Issue 3","Interacting cobweb markets","Dieci, Roberto & Westerhoff, Frank","35"
"23423","Journal of Economic Behavior & Org","2010, Volume 75, Issue 2","Epiphany in the Game of 21","Dufwenberg, Martin & Sundaram, Ramya & Butler, David J.","73"
"23454","Journal of Economic Behavior & Org","2010, Volume 74, Issue 3","A road to trust","Labonne, Julien & Chase, Robert S.","20"
"23463","Journal of Economic Behavior & Org","2010, Volume 74, Issue 1-2","Does competition affect giving?","Duffy, John & Kornienko, Tatiana","101"
"23495","Journal of Economic Behavior & Org","2010, Volume 73, Issue 1","Understanding context effects","Houser, Daniel & Xiao, Erte","17"
"23500","Journal of Economic Behavior & Org","2010, Volume 73, Issue 1","What would Adam Smith think?","Smith, Vernon L.","14"
"23507","Journal of Economic Behavior & Org","2009, Volume 72, Issue 3","On punishment and well-being","Brandts, Jordi & Fernanda Rivas, Mara","10"
"23533","Journal of Economic Behavior & Org","2009, Volume 72, Issue 1","Time is not money","Ellingsen, Tore & Johannesson, Magnus","58"
"23571","Journal of Economic Behavior & Org","2009, Volume 71, Issue 3","The firm in early Modern China","Zelin, Madeleine","40"
"23583","Journal of Economic Behavior & Org","2009, Volume 71, Issue 2","Happiness, freedom and control","Verme, Paolo","182"
"23587","Journal of Economic Behavior & Org","2009, Volume 71, Issue 2","Trust and development","Dearmon, Jacob & Grier, Kevin","163"
"23632","Journal of Economic Behavior & Org","2009, Volume 70, Issue 3","Computerizing audit studies","Lahey, Joanna N. & Beasley, Ryan A.","67"
"23639","Journal of Economic Behavior & Org","2009, Volume 70, Issue 1-2","The aversion to lying","Lundquist, Tobias & Ellingsen, Tore & Gribbe, Erik & Johannesson, Magnus","269"
"23656","Journal of Economic Behavior & Org","2009, Volume 70, Issue 1-2","Propositions about novelty","Witt, Ulrich","58"
"23670","Journal of Economic Behavior & Org","2009, Volume 69, Issue 3","Ethnosizing immigrants","Constant, Amelie F. & Gataullina, Liliya & Zimmermann, Klaus F.","184"
"23674","Journal of Economic Behavior & Org","2009, Volume 69, Issue 2","An update on Bayesian updating","Holt, Charles A. & Smith, Angela M.","86"
"23712","Journal of Economic Behavior & Org","2008, Volume 68, Issue 2","Language games of reciprocity","Wilson, Bart J.","24"
"23722","Journal of Economic Behavior & Org","2008, Volume 68, Issue 1","Assessing market dominance","Melnik, Arie & Shy, Oz & Stenbacka, Rune","39"
"23723","Journal of Economic Behavior & Org","2008, Volume 68, Issue 1","Unpleasant middlemen","Masters, Adrian","32"
"23728","Journal of Economic Behavior & Org","2008, Volume 68, Issue 1","Is man doomed to progress?","Senik, Claudia","57"
"23737","Journal of Economic Behavior & Org","2008, Volume 68, Issue 1","On fair allocations","Chavas, Jean-Paul","4"
"23780","Journal of Economic Behavior & Org","2008, Volume 67, Issue 2","The hot-toy problem","Tabarrok, Alexander","3"
"23781","Journal of Economic Behavior & Org","2008, Volume 67, Issue 2","Beyond selfish and selfless","DeScioli, Peter","1"
"23787","Journal of Economic Behavior & Org","2008, Volume 67, Issue 1","Intermediaries and corruption","Hasker, Kevin & Okten, Cagla","53"
"23789","Journal of Economic Behavior & Org","2008, Volume 67, Issue 1","Experimental gasoline markets","Deck, Cary A. & Wilson, Bart J.","43"
"23795","Journal of Economic Behavior & Org","2008, Volume 67, Issue 1","Emotions in tournaments","Krkel, Matthias","0"
"23810","Journal of Economic Behavior & Org","2008, Volume 66, Issue 3-4","Identity and racial harassment","Antecol, Heather & Cobb-Clark, Deborah A.","87"
"23817","Journal of Economic Behavior & Org","2008, Volume 66, Issue 3-4","Projection bias","investors: A market approach by Kliger, Doron & Levy, Ori","11"
"23838","Journal of Economic Behavior & Org","2008, Volume 66, Issue 2","Durable good celebrities","Kendall, Todd D.","4"
"23841","Journal of Economic Behavior & Org","2008, Volume 66, Issue 2","Search and price competition","Waldeck, Roger","40"
"23887","Journal of Economic Behavior & Org","2008, Volume 65, Issue 2","School size and youth violence","Leung, Ambrose & Ferris, J. Stephen","57"
"23902","Journal of Economic Behavior & Org","2008, Volume 65, Issue 1","A problem of bookkeeping","Tullock, Gordon","0"
"23904","Journal of Economic Behavior & Org","2007, Volume 64, Issue 3-4","Risk-sharing networks","Bramoull, Yann & Kranton, Rachel","-1"
"23906","Journal of Economic Behavior & Org","2007, Volume 64, Issue 3-4","Segregation in networks","Fagiolo, Giorgio & Valente, Marco & Vriend, Nicolaas J.","73"
"23911","Journal of Economic Behavior & Org","2007, Volume 64, Issue 3-4","Networks and clubs","Page Jr., Frank H. & Wooders, Myrna","182"
"23916","Journal of Economic Behavior & Org","2007, Volume 64, Issue 2","Equilibrium (dis)honesty","Besancenot, Damien & Vranceanu, Radu","7"
"23921","Journal of Economic Behavior & Org","2007, Volume 64, Issue 1","Leadership and conflict","Hamlin, Alan & Jennings, Colin","26"
"23938","Journal of Economic Behavior & Org","2007, Volume 63, Issue 3","Esteem and ignorance","Cowen, Tyler & Glazer, Amihai","12"
"23941","Journal of Economic Behavior & Org","2007, Volume 63, Issue 3","Teams take the better risks","Rockenbach, Bettina & Sadrieh, Abdolkarim & Mathauschek, Barbara","158"
"23952","Journal of Economic Behavior & Org","2007, Volume 63, Issue 2","Markets are more than Bits","Holm, Hakan J.","0"
"23962","Journal of Economic Behavior & Org","2007, Volume 63, Issue 1","Parochial corruption","Kingston, Christopher","51"
"23971","Journal of Economic Behavior & Org","2007, Volume 62, Issue 4","The demand for punishment","Carpenter, Jeffrey P.","315"
"23973","Journal of Economic Behavior & Org","2007, Volume 62, Issue 4","Time-preference and commitment","Sorger, Gerhard","11"
"23999","Journal of Economic Behavior & Org","2007, Volume 62, Issue 1","Leading for the long term","Hermalin, Benjamin E.","64"
"24014","Journal of Economic Behavior & Org","2006, Volume 61, Issue 4","Social learning in market games","Altavilla, Carlo & Luini, Luigi & Sbriglia, Patrizia","37"
"24017","Journal of Economic Behavior & Org","2006, Volume 61, Issue 4","Protection and social order","Wilhite, Allen","15"
"24023","Journal of Economic Behavior & Org","2006, Volume 61, Issue 3","Strategic outsourcing revisited","Buehler, Stefan & Haucap, Justus","134"
"24024","Journal of Economic Behavior & Org","2006, Volume 61, Issue 3","Strategic asymmetry","Tombak, Mihkel M.","24"
"24025","Journal of Economic Behavior & Org","2006, Volume 61, Issue 3","Screening budgets","Wagner, Alexander F. & Miller, Nolan H. & Zeckhauser, Richard J.","4"
"24046","Journal of Economic Behavior & Org","2006, Volume 61, Issue 1","Generosity, anonymity, gender","Dufwenberg, Martin & Muren, Astri","209"
"24047","Journal of Economic Behavior & Org","2006, Volume 61, Issue 1","Gender composition in teams","Dufwenberg, Martin & Muren, Astri","109"
"24055","Journal of Economic Behavior & Org","2006, Volume 60, Issue 4","Message-contingent delegation","Krahmer, Daniel","37"
"24096","Journal of Economic Behavior & Org","2006, Volume 59, Issue 2","Your morals might be your moods","Kirchsteiger, Georg & Rigotti, Luca & Rustichini, Aldo","121"
"24098","Journal of Economic Behavior & Org","2006, Volume 59, Issue 2","Fine enough or dont fine at all","Lin, Chung-cheng & Yang, C.C.","29"
"24113","Journal of Economic Behavior & Org","2005, Volume 58, Issue 3","Managing diversity","creating team identity by Eckel, Catherine C. & Grossman, Philip J.","376"
"24125","Journal of Economic Behavior & Org","2005, Volume 58, Issue 1","Continuing conflict","Maxwell, John W. & Reuveny, Rafael","42"
"24159","Journal of Economic Behavior & Org","2005, Volume 57, Issue 1","Social phase transitions","Levy, Moshe","45"
"24164","Journal of Economic Behavior & Org","2005, Volume 56, Issue 4","A puzzle for adaptive theory","Easterlin, Richard A.","152"
"24165","Journal of Economic Behavior & Org","2005, Volume 56, Issue 4","Learning strategies","Hanaki, Nobuyuki & Sethi, Rajiv & Erev, Ido & Peterhansl, Alexander","56"
"24181","Journal of Economic Behavior & Org","2005, Volume 56, Issue 2","Fairness in bargaining","Bereby-Meyer, Yoella & Niederle, Muriel","95"
"24186","Journal of Economic Behavior & Org","2005, Volume 56, Issue 2","Is more data better?","Mitra, Kaushik","17"
"24188","Journal of Economic Behavior & Org","2005, Volume 56, Issue 1","A theory of haste","Brocas, Isabelle & Carrillo, Juan D.","22"
"24195","Journal of Economic Behavior & Org","2004, Volume 55, Issue 4","Trust and trustworthiness","Bohnet, Iris & Croson, Rachel","26"
"24196","Journal of Economic Behavior & Org","2004, Volume 55, Issue 4","Is trust a risky decision?","Eckel, Catherine C. & Wilson, Rick K.","509"
"24197","Journal of Economic Behavior & Org","2004, Volume 55, Issue 4","Trust, risk and betrayal","Bohnet, Iris & Zeckhauser, Richard","747"
"24203","Journal of Economic Behavior & Org","2004, Volume 55, Issue 3","Rational-choice hermeneutics","Koppl, Roger & Whitman, Douglas Glen","61"
"24219","Journal of Economic Behavior & Org","2004, Volume 55, Issue 2","Quality, trade, and growth","Fan, C. Simon","18"
"24241","Journal of Economic Behavior & Org","2004, Volume 54, Issue 3","Contestable privatization","Drook-Gal, Bat-Sheva & Epstein, Gil S. & Nitzan, Shmuel","3"
