ID, Journal, Date, Title,Author, Citation
55016,Journal of International Economics,"Pages 191-394 (July 2012), Volum87,Issue2",Innovation and imitation in a model of North_????South trade,Teodora Borota,-1
55996,Journal of International Economics,"Pages 219-369 (November 1996), Volum41,Issue3_4",A self-fulfilling model of Mexicos 1994_????1995 debt crisis,Harold L. Cole& Timothy J. Kehoe,-1
34044,Journal of Money Credit & Banking,"2012, Volume 44, Issue 8",The Effects of Monetary Policy???_News??_ and???_Surprises??_,Fabio Milani & John Treadwell,0
36366,Journal of Public Economics,"2012, Volume 96, Issue 5",A welfare measure of???_offset effects??_ in health insurance,"Glazer, Jacob & McGuire, Thomas G.",0
50160,Journal of Labor Economics,"Vol. 29, No. 4, October 2011",Women_????s College Decisions: How Much Does Marriage Matter?,Suqin Ge,0
50321,Journal of Labor Economics,"Vol. 23, No. 1, January 2005",New Immigrants_???? Location Choices: Magnets without Welfare,Neeraj Kaushal,113
50562,Journal of Labor Economics,"Vol. 15, No. 4, October 1997",A Search Interpretation of Male_????Female Wage Differentials,Audra J. Bowlus,0
52065,Quarterly Journal of Economics,Volume 119?Issue 4?November 2004,"An Annual Index of U. S. Industrial Production, 1790_????1915",Joseph H. Davis,139
52085,Quarterly Journal of Economics,Volume 119?Issue 3?August 2004,"An Annual Index of U. S. Industrial Production, 1790_????1915",Joseph H. Davis,139
55656,Journal of International Economics,"Pages 239-452 (March 2003), Volum59,Issue2","The CCAPM meets Euro-interest rate persistence, 1960_????2000",Allen C. Head& Gregor W. Smith,7
25697,Journal of Economic Theory,"2011, Volume 146, Issue 5",Credit and inflation under borrowe???????_s lack of commitment,"Daz, Antonia & Perera-Tallo, Fernando",0
31503,Journal of Industrial Economics,"2014, Volume 62, Issue 2",Is the???_Linkage Principl????? Valid? Evidence from the Field,Sung-Jin Cho & Harry J. Paarsch & John Rust,0
50333,Journal of Labor Economics,"Vol. 22, No. 4, October 2004","Promotion, Turnover, Earnings, and Firm_????Sponsored Training",Hideo Owan,0
50939,Journal of Law & Economics,"Vol. 50, No. 4, November 2007",Airline Code_????Share Alliances and Their Competitive Effects,Philip G. Gayle,0
51493,Quarterly Journal of Economics,Volume 126?Issue 3?August 2011,On the Long-Run Evolution of Inheritance: France 1820_????2050,Thomas Piketty,319
51515,Quarterly Journal of Economics,Volume 126?Issue 2?May 2011,On the Long-Run Evolution of Inheritance: France 1820_????2050,Thomas Piketty,319
53721,Review of Economic Studies,Volume 74?Issue 4?October 2007,Technology_????Policy Interaction in Frictional Labour-Markets,Andreas Hornstein&Per Krusell&Giovanni L. Violante,95
53746,Review of Economic Studies,Volume 74?Issue 3?July 2007,Technology_????Policy Interaction in Frictional Labour-Markets,Andreas Hornstein&Per Kruselland&Giovanni L. Violante,95
53781,Review of Economic Studies,Volume 74?Issue 2?April 2007,Technology_????Policy Interaction in Frictional Labour-Markets,Andreas Hornstein&Per Kruselland& Giovanni L. Violante,95
55643,Journal of International Economics,"Pages 1-234 (May 2003), Volum60,Issue1",Putting the _??_New Open Economy Macroeconomics_???? to a test,Paul R. Bergin,-1
50705,Journal of Law & Economics,"Vol. 57, No. S3, August 2014",_??_Antitrusts Least Glorious Hour_??_: The Robinson-Patman Act,Roger D. Blair & Christina DePasquale,0
51114,Journal of Law & Economics,"Vol. 43, No. 2, October 2000",How Block Booking Facilitated Self_????Enforcing Film Contracts,By Roy W. Kenney & Benjamin Klein,0
55184,Journal of International Economics,"Pages 1-156 (January 2010), Volum80,Issue1",A new perspective on _??_the new rule_??_of the current account,Cedric Tille& Eric van Wincoop,-1
42133,Rand Journal of Economics,"2013, Volume 44, Issue 2",Upping the ant???_: how to design efficient auctions with entry?,Laurent Lamy,0
50519,Journal of Labor Economics,"Vol. 17, No. 2, April 1999",Wages and Mobility: The Impact of Employer_????Provided Training,Daniel Parent,0
52729,Quarterly Journal of Economics,Volume 111?Issue 4?November 1996,Channels of Interstate Risk Sharing: United States 1963_????1990,Pierfederico Asdrubali&Bent E. Srensenand& Oved Yosha,944
52749,Quarterly Journal of Economics,Volume 111?Issue 3?August 1996,Channels of Interstate Risk Sharing: United States 1963_????1990,Pierfederico Asdrubali&Bent E. Srensen&Oved Yosha,944
52778,Quarterly Journal of Economics,Volume 111 Issue 2 May 2008,Channels of Interstate Risk Sharing: United States 1963_????1990,Pierfederico Asdrubali&Bent E. Srensen&Oved Yosha,944
55357,Journal of International Economics,"Pages 1-222 (September 2007), Volum73,Issue1","Productivity, terms of trade and the _??_home market effect_????",Giancarlo Corsetti& Philippe Martin& Paolo Pesenti,-1
38176,Journal of Risk & Uncertainty,"2012, Volume 45, Issue 3",Testing the???_standar????? model of stochastic choice under risk,David Butler & andrea Isoni & Graham Loomes,0
50445,Journal of Labor Economics,"Vol. 19, No. 3, July 2001",The Effects of Shock Size and Type on Labor_????Contract Duration,Frederick H. Wallace,0
50539,Journal of Labor Economics,"Vol. 16, No. 3, July 1998",Reinterpreting Industry Premiums: Match_????Specific Productivity,Dae Il Kim,0
51082,Journal of Law & Economics,"Vol. 44, No. S2, October 2001","Safe_????Storage Gun Laws: Accidental Deaths, Suicides, and Crime",John R. Lottand Jr.& John E. Whitley,0
52732,Quarterly Journal of Economics,Volume 111?Issue 4?November 1996,"Preemptive R&D, Rent Dissipation, and the _??_Leverage Theory_??_",Jay Pil Choi,0
52752,Quarterly Journal of Economics,Volume 111?Issue 3?August 1996,"Preemptive R&D, Rent Dissipation, and the _??_Leverage Theory_??_",Jay Pil Choi,0
52781,Quarterly Journal of Economics,Volume 111?Issue 2?May 2009,"Preemptive R&D, Rent Dissipation, and the _??_Leverage Theory_??_",Jay Pil Choi,0
32638,Journal of Monetary Economics,"2013, Volume 60, Issue 4",An expectations-driven interpretation of the???_Great Recessio???_,"Gunn, Christopher M. & Johri, Alok",0
36126,Journal of Public Economics,"2014, Volume 117, Issue C",Do the right thing???_ The effects of moral suasion on cooperation,"Dal B, Ernesto & Dal B, Pedro",51
36249,Journal of Public Economics,"2013, Volume 103, Issue C","Thou shalt not cove???_: Prohibitions, temptation and moral values","Cervellati, Matteo & Vanin, Paolo",0
45821,Review of Financial Studies,"2007, Volume 20, Issue 4",Walrasian T????_????tonnement Auctions on the Tokyo Grain Exchange,James Eaves & Jeffrey Williams,0
50934,Journal of Law & Economics,"Vol. 50, No. 4, November 2007",Concentration_????Based Merger Tests and Vertical Market Structure,Joshua S. Gans,0
41037,Marketing Science,"2004, Volume 23, Issue 2",Let Me Talk to My Manage???_: Haggling in a Competitive Environment,Preyas S. Desai & Devavrat Purohit,18
50127,Journal of Labor Economics,"Vol. 31, No. 1, January 2013","A Dynamic Equilibrium Model of the US Wage Structure, 1968_????1996",Matthew Johnson & Michael P. Keane,0
36172,Journal of Public Economics,"2014, Volume 113, Issue C",Distinguishing the role of authority???_i???_ and authority???_t???_,"Silverman, Dan & Slemrod, Joel & Uler, Neslihan",3
50253,Journal of Labor Economics,"Vol. 25, No. 3, July 2007",Changes in the Labor Supply Behavior of Married Women: 1980_????2000,Francine D. Blau & Lawrence M. Kahn,749
50555,Journal of Labor Economics,"Vol. 16, No. 1, January 1998",Male_????Female Supply to State Government Jobs and Comparable Worth,Peter F. Orazem & J. Peter Mattila,0
51051,Journal of Law & Economics,"Vol. 46, No. 1, April 2003",The Origins of the Blue_????Sky Laws: A Test of Competing Hypotheses,Paul G. Mahoney,0
51397,Quarterly Journal of Economics,Volume 127?Issue 4?November 2012,Wages and Human Capital in the U.S. Finance Industry: 1909_????2006*,Thomas Philippon&Ariell Reshef,697
51417,Quarterly Journal of Economics,Volume 127?Issue 3?August 2012,Wages and Human Capital in the U.S. Finance Industry: 1909_????2006*,Thomas Philippon&Ariell Reshef,697
51447,Quarterly Journal of Economics,Volume 127?Issue 2?May 2012,Wages and Human Capital in the U.S. Finance Industry: 1909_????2006*,Thomas Philippon&Ariell Reshef,697
55667,Journal of International Economics,"Pages 1-238 (January 2003), Volum59,Issue1",The North_????s intellectual property rights standard for the South?,Edwin L.-C. Lai& Larry D. Qiu,-1
34208,Journal of Money Credit & Banking,"2011, Volume 43",Discussion of???_Pric?????Level Targeting and Stabilization Polic???_,Gauti B. Eggertsson,0
38735,Journal of the European Econ Assoc,"2013, Volume 11, Issue 6",Who Is???_Behaviora?????? Cognitive Ability and Anomalous Preferences,Daniel J. Benjamin & Sebastian A. Brown & Jesse M. Shapiro,0
47231,World Development,"2014, Volume 59, Issue C",The Impact of Bolsa Fam????_??????lia on Womens Decision-Making Power,"de Brauw, Alan & Gilligan, Daniel O. & Hoddinott, John & Roy, Shalini",0
50810,Journal of Law & Economics,"Vol. 54, No. 4, November 2011",Sex Work and Infection: What_????s Law Enforcement Got to Do with It?,Paul J. Gertler & Manisha Shah,0
51286,Quarterly Journal of Economics,Volume 129?Issue 3?August 2014,Capital is Back: Wealth-Income Ratios in Rich Countries 1700_????2010,Thomas Piketty&Gabriel Zucman,666
51316,Quarterly Journal of Economics,Volume 129?Issue 2?May 2014,Capital is Back: Wealth-Income Ratios in Rich Countries 1700_????2010,Thomas Piketty&Gabriel Zucman,666
51324,Quarterly Journal of Economics,Volume 129?Issue 1?February 2014,_??_Last-Place Aversion_??_: Evidence and Redistributive Implications,Ilyana Kuziemko&Ryan W. Buell&; Taly Reichand&Michael I. Norton,0
55815,Journal of International Economics,"Pages 243-464 (August 2000), Volum51,Issue2",A survey of market practitioners_???? views on exchange rate dynamics,Yin-Wong Cheung& Clement Yuk-Pang Wong,269
25618,Journal of Economic Theory,"2012, Volume 147, Issue 3",Learning from private and public observations of others??????_ actions,"Amador, Manuel & Weill, Pierre-Olivier",107
32578,Journal of Monetary Economics,"2014, Volume 65, Issue C",Floating a???_lifeboa???_: The Banque de France and the crisis of 1889,"Hautcoeur, Pierre-Cyrille & Riva, Angelo & White, Eugene N.",0
50224,Journal of Labor Economics,"Vol. 27, No. 1, January 2009","Firm_????Size Wage Gaps, Job Responsibility, and Hierarchical Matching",Jeremy T. Fox,0
50432,Journal of Labor Economics,"Vol. 19, No. 4, October 2001",Firm_????Wide Incentives and Mutual Monitoring at Continental Airlines,Marc Knez & Duncan Simester,0
51016,Journal of Law & Economics,"Vol. 47, No. 2, October 2004",The Political Economy of State_????Level Administrative Procedure Acts,Rui J. P. de Figueiredoand Jr.& Richard G. Vanden Bergh,0
51200,Journal of Law & Economics,"Vol. 40, No. 2, October 1997",The Regulation of Fuel Economy and the Demand for _??_Light Trucks_??_,By Paul E. Godek,0
55787,Journal of International Economics,"Pages 1-238 (February 2001), Volum53,Issue1",Foreign direct investment and spillovers through workers_???? mobility,Andrea Fosfuri& Massimo Motta& Thomas Rnde,1122
23360,Journal of Economic Behavior & Org,"2010, Volume 76, Issue 3",Multiple equilibria and chaos in a discrete t????_????tonnement process,"Kaizoji, Taisei",0
51327,Quarterly Journal of Economics,Volume 129?Issue 1?February 2014,Optimal money creation in _??_pure currency_??_ economies: a conjecture,Neil Wallace,0
47494,World Development,"2013, Volume 41, Issue C",Unpacking the Meaning of???_Market Access????: Evidence from Rural Kenya,"Chamberlin, Jordan & Jayne, T.S.",0
50390,Journal of Labor Economics,"Vol. 21, No. 1, January 2003",Space and Unemployment: The Labor_????Market Effects of Spatial Mismatch,Jan K. Brueckner & Yves Zenou,0
50463,Journal of Labor Economics,"Vol. 19, No. 1, January 2001",Long_????Term Wage Fluctuations with Industry_????Specific Human Capital,Bruce A. Weinberg,0
50895,Journal of Law & Economics,"Vol. 52, No. 2, May 2009",Explaining the Puzzle of Cross_????State Differences in Bankruptcy Rates,Lars Lefgren & Frank McIntyre,0
51176,Journal of Law & Economics,"Vol. 41, No. 2, October 1998","The Adoption of Workers Compensation in the United States, 1900_????1930",By Price V. Fishback & Shawn Everett Kantor,168
51777,Quarterly Journal of Economics,Volume 123?Issue 1?February 2008,Betting on Hitler_????The Value of Political Connections in Nazi Germany,Thomas Ferguson&Hans-Joachim Voth,365
54954,Journal of International Economics,"Pages 271-538 (March 2013), Volum89,Issue2",Financial integration and growth _???? Why is Emerging Europe different?,Christian Friedrich& Isabel Schnabel& Jeromin Zettelmeyer,78
55210,Journal of International Economics,"Pages 1-172 (September 2009), Volum79,Issue1",Rybczynskis Theorem in the Heckscher_????Ohlin World _???? Anything Goes,Marcus M. OpP& Hugo F. Sonnenschein& Christis G. Tombazos,-1
34210,Journal of Money Credit & Banking,"2011, Volume 43",Discussion of???_Precautionary Demand and Liquidity in Payment Systems??_,Charles M. Kahn,0
43812,Review of Economics & Statistics,"2012, Volume 94, Issue 1",Forecasting The Path of U.S. CO_2 Emissions Using State-Level Information,Maximilian Auffhammer & Ralf Steinhauser,42
55262,Journal of International Economics,"Pages 139-416 (December 2008), Volum76,Issue2",Can firms location decisions counteract the Balassa_????Samuelson effect?,Isabelle Mjean,-1
55399,Journal of International Economics,"Pages 267-526 (April 2007), Volum71,Issue2","Tornell and Westermann, boom_????bust cycles and financial liberalization",Jean Imbs,-1
25652,Journal of Economic Theory,"2012, Volume 147, Issue 2",Global stability and the???_turnpik???_ in optimal unbounded growth models,"Jensen, Martin Kaae",0
44528,Review of Economics & Statistics,"2002, Volume 84, Issue 1",El Ni????_????o and World Primary Commodity Prices: Warm Water or Hot Air?,Allan D. Brunner,0
47315,World Development,"2014, Volume 53, Issue C",Decentralization and Veiled Corruption under Chinas???_Rule of Mandates??_,"Birney, Mayling",0
50229,Journal of Labor Economics,"Vol. 26, No. 4, October 2008",How Does Job_????Protected Maternity Leave Affect Mothers_???? Employment?,Michael Baker & Kevin Milligan,0
50944,Journal of Law & Economics,"Vol. 50, No. 3, August 2007",Heavy Alcohol Use and Crime: Evidence from Underage Drunk_????Driving Laws,Christopher Carpenter,105
30908,Journal of Human Resources,"2010, Volume 45, Issue 1",Two Sides of the Same Coin:U.S.???_ResiDual-??_ Inequality & the Gender Gap,Marigee P. Bacolod&Bernardo S. Blum,0
38686,Journal of the European Econ Assoc,"2014, Volume 12, Issue 6",The Political Economy Of Regulation In Markets With Na????_????ve Consumers,Patrick L. Warren & Daniel H. Wood,0
50765,Journal of Law & Economics,"Vol. 55, No. 4, November 2012",Human Capital Accumulation and the Expansion of Women_????s Economic Rights,Rick Geddes& Dean Lueck& Sharon Tennyson,0
50836,Journal of Law & Economics,"Vol. 54, No. 1, February 2011",An Evaluation of Interpol_????s Cooperative-Based Counterterrorism Linkages,Todd Sandler& Daniel G. Arce& Walter Enders,0
50919,Journal of Law & Economics,"Vol. 51, No. 2, May 2008",When Little Things Mean a Lot: On the Inefficiency of Item_????Pricing Laws,Mark Bergen& Daniel Levy& Sourav Ray& Paul H. Rubin& Benjamin Zeliger,37
51041,Journal of Law & Economics,"Vol. 46, No. 2, October 2003","Founding_????Family Ownership, Corporate Diversification, and Firm Leverage",Ronald C. Anderson & David M. Reeb,0
51104,Journal of Law & Economics,"Vol. 44, No. 1, April 2001","First_????Mover Advantage and the Speed of Competitive Entry, 1887_????1986",Rajshree Agarwal & Michael Gort,0
51938,Quarterly Journal of Economics,Volume 121?Issue 2?May 2006,"The World Distribution of Income: Falling Poverty and __Convergence, Period",Xavier Sala-i-Martin,947
51977,Quarterly Journal of Economics,Volume 121?Issue 1?February 2006,"The World Distribution of Income: Falling Poverty and __Convergence, Period",Xavier Sala-i-Martin,947
38150,Journal of Risk & Uncertainty,"2014, Volume 48, Issue 1",Prospect theory and the???_forgotte???_ fourfold pattern of risk preferences,Marc Scholten & Daniel Read,0
50261,Journal of Labor Economics,"Vol. 25, No. 2, April 2007",Identifying the Potential of Work_????Sharing as a Job_????Creation Strategy,Mikal Skuterud,0
50574,Journal of Labor Economics,"Vol. 15, No. 3, July 1997",Sex_????Based Differences in School Content and the Male_????Female Wage Gap,Charles Brown & Mary Corcoran,0
51099,Journal of Law & Economics,"Vol. 44, No. 1, April 2001",Workers_???? Compensation Rate Regulation: How Price Controls Increase Costs,Patricia M. Danzon & Scott E. Harrington,44
53146,Review of Economic Studies,Volume 80?Issue 1?January 2013,Robust Predictions in Infinite-Horizon Games_????an Unrefinable Folk Theorem,Jonathan Weinstein&Muhamet Yildiz,13
55126,Journal of International Economics,"Pages 99-250 (November 2010), Volum82,Issue2",Ricardian_????Heckscher_????Ohlin comparative advantage: Theory and evidence,Peter M. Morrow,-1
55839,Journal of International Economics,"Pages 1-326 (February 2000), Volum50,Issue1",Factor prices and the factor content of trade revisited: what_????s the use?,Alan V. Deardorff,107
22585,Journal of Economic Behavior & Org,"2014, Volume 108, Issue C",Feel the Warmt???_ glow: A field experiment on manipulating the act of giving,"Chuan, Amanda & Samek, Anya Savikhin",0
41104,Marketing Science,"2001, Volume 20, Issue 4",Market Measurement and Analysis: The First???_Marketing Scienc???_ Conference,Dick R. Wittink,0
29145,Journal of Financial Economics,"2014, Volume 113, Issue 1","Safer ratios, riskier portfolios: Banks???€?_?????? response to government aid","Duchin, Ran & Sosyura, Denis",0
47536,World Development,"2012, Volume 40, Issue 10",The Poor Stay Poor???_: Household Asset Poverty Traps in Rural Semi-Arid India,"Naschold, Felix",56
50106,Journal of Labor Economics,"Vol. 31, No. 4, October 2013","Early Contract Renegotiation: An Analysis of US Labor Contracts, 1970_????1995",Robert Rich & Joseph Tracy,3
50186,Journal of Labor Economics,"Vol. 28, No. 3, July 2010",The Supply Side of Innovation: H_????1B Visa Reforms and U.S. Ethnic Invention,William R. Kerr & William F. Lincoln,0
50228,Journal of Labor Economics,"Vol. 26, No. 4, October 2008",Unequal Pay or Unequal Employment? A Cross_????Country Analysis of Gender Gaps,Claudia Olivetti & Barbara Petrongolo,0
55629,Journal of International Economics,"Pages 1-260 (October 2003), Volum61,Issue1",A note on _??_optimal strategic trade policy under asymmetric information_????,Yoshitomo Okajima,-1
36299,Journal of Public Economics,"2013, Volume 97, Issue C",Parental leave????? A policy evaluation of the Swedish???_Daddy-Mont???_ reform,"Ekberg, John & Eriksson, Rickard & Friebel, Guido",0
40995,Marketing Science,"2005, Volume 24, Issue 2",Counting Your Customers??_ the Easy Way: An Alternative to the Pareto/NBD Model,Peter S. Fader & Bruce G. S. Hardie & Ka Lok Lee,415
47245,World Development,"2014, Volume 58, Issue C",Effect of Conflict on Dietary Diversity: Evidence from C????_????te ?????Ivoire,"Dabalen, andrew L. & Paul, Saumik",0
50499,Journal of Labor Economics,"Vol. 17, No. S4, October 1999",Alternative and Part_????Time Employment Arrangements as a Response to Job Loss,Henry S. Farber,0
50961,Journal of Law & Economics,"Vol. 49, No. 2, October 2006",Reputational Penalties and the Merits of Class_????Action Securities Litigation,Eric Helland,0
51122,Journal of Law & Economics,"Vol. 43, No. 2, October 2000",Private Property and Economic Efficiency: A Study of a Common_????Pool Resource,By R. Quentin Grafton& Dale Squires& Kevin J. Fox,403
51174,Journal of Law & Economics,"Vol. 41, No. S2, October 1998",Spectrum Flash Dance: Eli Noams Proposal for _??_Open Access_??_ to Radio Waves,By Thomas W. Hazlett,48
52070,Quarterly Journal of Economics,Volume 119?Issue 4?November 2004,Economic Impacts of New Unionization on Private Sector Employers: 1984_????2001,John DiNardo&David S. Lee,382
52090,Quarterly Journal of Economics,Volume 119?Issue 3?August 2004,Economic Impacts of New Unionization on Private Sector Employers: 1984_????2001,John DiNardo&David S. Lee,382
52143,Quarterly Journal of Economics,Volume 119?Issue 1?February 2004,Economic Impacts of New Unionization on Private Sector Employers: 1984_????2001,John DiNardo&David S. Lee,382
52198,Quarterly Journal of Economics,Volume 118?Issue 1?February 2003,_??_Coherent Arbitrariness_??_: Stable Demand Curves Without Stable Preferences,Dan Ariely&George Loewenstein&Drazen Prelec,0
50750,Journal of Law & Economics,"Vol. 56, No. 2, May 2013",How Does Bankruptcy Law Impact the Elderly_????s Business and Housing Decisions?,Nadia Greenhalgh-Stanley & Shawn Rohlin,0
36535,Journal of Public Economics,"2011, Volume 95, Issue 1","Heterogeneous firms,???_profit shiftin????? FDI and international tax competition","Krautheim, Sebastian & Schmidt-Eisenlohr, Tim",0
41172,Marketing Science,"1999, Volume 18, Issue 2",The???_Shopping Baske???_: A Model for Multicategory Purchase Incidence Decisions,Puneet Manchanda & Asim Ansari & Sunil Gupta,0
50369,Journal of Labor Economics,"Vol. 21, No. 3, July 2003","Wages, Profits, and Capital Intensity: Evidence from Matched Worker_????Firm Data",Mahmood Arai,213
50446,Journal of Labor Economics,"Vol. 19, No. 3, July 2001",Death and Divorce: The Long_????Term Consequences of Parental Loss on Adolescents,Miles Corak,0
22592,Journal of Economic Behavior & Org,"2014, Volume 108, Issue C",How Werner G????_??_ths ultimatum game shaped our understanding of social behavior,"van Damme, Eric & Binmore, Kenneth G. & Roth, Alvin E. & Samuelson, Larry & Winter, Eyal & Bolton, Gary E. & Ockenfels, Axel & Dufwenberg, Martin & Kirchsteiger, Georg & Gneezy, Uri & Kocher, Martin G. & Sutter, Matthias & Sanfey, Alan G. & Kliemt, Hartmut & Selten, Reinhard & Nagel, Rosemarie & Azar, Ofer H.",30
41161,Marketing Science,"1999, Volume 18, Issue 3",Do the Right Thing???_ Diverging Effects of Accountability in a Managerial Context,Christina L. Brown,39
50241,Journal of Labor Economics,"Vol. 26, No. 1, January 2008",Vive la Rvolution! Long_????Term Educational Returns of 1968 to the Angry Students,Eric Maurin & Sandra McNally,0
50343,Journal of Labor Economics,"Vol. 22, No. 2, April 2004",The Effect of Part_????Time Work on Wages: Evidence from the Social Security Rules,Daniel Aaronson & Eric French,0
50475,Journal of Labor Economics,"Vol. 18, No. 3, July 2000",The Effects of Official English Laws on Limited_????English_????Proficient Workers,Madeline Zavodny,0
50937,Journal of Law & Economics,"Vol. 50, No. 4, November 2007",The Impact of Post_????9/11 Airport Security Measures on the Demand for Air Travel,Garrick Blalock& Vrinda Kadiyali& Daniel H. Simon,0
51575,Quarterly Journal of Economics,Volume 125?Issue 3?August 2010,Improved Access to Foreign Markets Raises Plant-level Productivity__or Some Plants,Alla Lileeva&Daniel Trefler,793
51597,Quarterly Journal of Economics,Volume 125?Issue 2?May 2010,Improved Access to Foreign Markets Raises Plant-level Productivity__or Some Plants,Alla Lileeva&Daniel Trefler,793
51641,Quarterly Journal of Economics,Volume 125?Issue 1?February 2010,Improved Access to Foreign Markets Raises Plant-level Productivity__or Some Plants,Alla Lileeva&Daniel Trefler,793
54810,Journal of International Economics,"Pages 1-176 (September 2014), Volum94,Issue1",The stock of external sovereign debt: Can we take the data at _??_face value_?????,Daniel A. Dias& Christine Richmond& Mark L.J. Wright,20
22818,Journal of Economic Behavior & Org,"2013, Volume 94, Issue C",The???_play-ou???_ effect and preference reversals: Evidence for noisy maximization,"Berg, Joyce E. & Dickhaut, John W. & Rietz, Thomas A.",0
36160,Journal of Public Economics,"2014, Volume 114, Issue C",Working for the???_warm glo???_: On the benefits and limits of prosocial incentives,"Imas, Alex",0
47412,World Development,"2013, Volume 45, Issue C",Ten Years of???_Q-Square???_: Implications for Understanding and Explaining Poverty,"Shaffer, Paul",0
51624,Quarterly Journal of Economics,Volume 125?Issue 1?February 2010,Was Postwar Suburbanization _??_White Flight_??_? Evidence from the Black Migration,Leah Platt Boustan,0
